<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221102;180000;169.8000000;170.4500000;169.7700000;170.2900000;1846810
GAZP;60;20221102;190000;170.3000000;170.4000000;169.9000000;169.9900000;449460
GAZP;60;20221102;200000;169.9900000;170.0300000;169.9000000;169.9000000;211580
GAZP;60;20221102;210000;169.9000000;170.0600000;169.6000000;169.7300000;328590
GAZP;60;20221102;220000;169.7300000;169.9000000;169.4000000;169.4900000;348810
GAZP;60;20221102;230000;169.4900000;169.5000000;167.1000000;167.7200000;2532760
GAZP;60;20221103;100000;167.1000000;168.4500000;166.6800000;167.5000000;4489570
GAZP;60;20221103;110000;167.5000000;167.5000000;167.0000000;167.5000000;2457650
GAZP;60;20221103;120000;167.4900000;167.5000000;166.7700000;167.2000000;1716830
GAZP;60;20221103;130000;167.1900000;168.0000000;167.1500000;167.8300000;1254620
GAZP;60;20221103;140000;167.8300000;167.9700000;167.4800000;167.6600000;768670
